date,value
2022-09-07,47712
2022-09-08,47090
2022-09-09,56669
2022-09-10,34491
2022-09-11,40338
2022-09-12,64376
2022-09-13,19738
2022-09-14,36187
2022-09-15,35985
2022-09-16,39855
2022-09-17,39477
2022-09-18,35723
2022-09-19,33859
2022-09-20,53108
2022-09-21,40535
2022-09-22,49929
2022-09-23,37323
2022-09-24,55542
2022-09-25,45167
2022-09-26,48512
2022-09-27,45675
2022-09-28,38017
2022-09-29,42238
2022-09-30,35401
2022-10-01,38649
2022-10-02,33226
2022-10-03,62054
2022-10-04,23935
2022-10-05,62006
2022-10-06,34610
2022-10-07,38334
2022-10-08,53744
2022-10-09,47409
2022-10-10,60325
2022-10-11,33296
2022-10-12,37544
2022-10-13,38029
2022-10-14,57414
2022-10-15,43416
2022-10-16,58442
2022-10-17,61325
2022-10-18,36491
2022-10-19,43586
2022-10-20,60015
2022-10-21,60157
2022-10-22,33750
2022-10-23,41012
2022-10-24,57541
2022-10-25,65143
2022-10-26,46356
2022-10-27,34698
2022-10-28,33559
2022-10-29,52509
2022-10-30,24333
2022-10-31,55453
2022-11-01,33257
2022-11-02,34610
2022-11-03,63148
2022-11-04,51997
2022-11-05,60951
2022-11-06,60469
2022-11-07,36027
2022-11-08,43456
2022-11-09,41901
2022-11-10,30100
2022-11-11,83875
2022-11-12,47978
2022-11-13,53042
2022-11-14,48104
2022-11-15,28997
2022-11-16,16808
2022-11-17,39242
2022-11-18,19749
2022-11-19,27374
2022-11-20,16837
2022-11-21,5736
2022-11-22,4
2022-11-24,2
2022-11-25,2
2022-11-28,131
2022-11-29,1900
2022-11-30,3773
2022-12-01,3404
2022-12-02,19484
2022-12-03,15762
2022-12-04,18204
2022-12-05,18905
2022-12-06,47515
2022-12-07,27885
2022-12-08,20024
2022-12-09,22656
2022-12-10,46697
2022-12-11,39529
2022-12-12,45342
2022-12-13,32687
2022-12-14,9796
2022-12-15,11488
2022-12-16,20467
2022-12-17,29546
2022-12-18,27307
2022-12-19,26304
2022-12-20,61905
2022-12-21,18552
2022-12-22,22866
2022-12-23,31983
2022-12-24,17066
2022-12-25,22212
2022-12-26,35469
2022-12-27,28259
2022-12-28,37386
2022-12-29,23519
2022-12-30,20311
2022-12-31,25664
